,index_k,company_code,company_name,date,stock_price,foreign_demand,equity_ratio,per,pbr,type_of_industry,type_of_market,accounting_period,market_capitalization,trading_value
22,23.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-21,308,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
23,24.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-22,304,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
24,25.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-25,310,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
25,26.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-26,307,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
26,27.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-27,321,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
27,28.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-28,309,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
28,29.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-01,312,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
29,30.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-04,315,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
30,31.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-05,315,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
31,32.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-06,308,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
32,33.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-07,301,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
33,34.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-08,290,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
34,35.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-11,282,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
35,36.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-12,280,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
36,37.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-13,275,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
37,38.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-14,280,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
38,39.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-15,290,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
39,40.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-18,296,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
40,41.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-19,297,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
41,42.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-20,286,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
42,43.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-22,289,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
43,44.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-25,280,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
44,45.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-26,288,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
45,46.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-03-27,286,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
